rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,view_history,stimulus,key_press,button_pressed,id,type,shape,color,condition
2616,5ebaad159776ec0008518918,ProlificID,survey-text,0,2617,0.0-0.0,qjflwa296p,,,,,,,,,
1423,NA,instructions,instructions,1,4041,0.0-1.0,qjflwa296p,"[{""page_index"":0,""viewing_time"":1423}]",,,,,,,,
null,NA,,html-keyboard-response,2,7545,0.0-2.0,qjflwa296p,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot34'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,3,12048,0.0-3.0,qjflwa296p,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot78'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,4,16553,0.0-4.0,qjflwa296p,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4_red'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,5,21079,0.0-5.0,qjflwa296p,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot67'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,6,25593,0.0-6.0,qjflwa296p,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot23'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,7,30114,0.0-7.0,qjflwa296p,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1_red'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot12'></div></div> </div>,null,,,,,,
1853,NA,break,html-button-response,8,32969,0.0-8.0,qjflwa296p,,"<p style='text-align:center'>Now, let's see how <b>you</b> use <i>wug</i>! You will see animations and will be asked to make a decision.</p>",,0,,,,,
5855,NA,,html-button-delay-response,9,38825,0.0-9.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,2,testing.1,testing,dot,,AB
