rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,view_history,stimulus,button_pressed,id,type,shape,color,condition
12361,5dc3545b178fc925f5334145,ProlificID,survey-text,0,12362,0.0-0.0,llkbm1du8d,control,,,,,,,,
3814,NA,instructions,instructions,1,16176,0.0-1.0,llkbm1du8d,control,"[{""page_index"":0,""viewing_time"":3813}]",,,,,,,
9059,NA,,html-button-delay-response,2,25237,0.0-2.0,llkbm1du8d,control,,<div  class = 'container4'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='center'></div><div class='dot56_green'></div></div> </div>,1,testing.1,testing,green circle,,AB
11502,NA,,html-button-delay-response,3,37247,0.0-3.0,llkbm1du8d,control,,<div  class = 'container4'> <div class='container3'><div class='palette'><div class='color1_red'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='center'></div><div class='dot21'></div></div> </div>,0,testing.2,testing,black circle,,notAnotB
7262,NA,,html-button-delay-response,4,45016,0.0-4.0,llkbm1du8d,control,,<div  class = 'container4'> <div class='container5'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='center'></div><div class='dot67_yellow'></div></div> </div>,0,testing.3,testing,yellow circle,,ABneg
10180,NA,,html-button-delay-response,5,55700,0.0-5.0,llkbm1du8d,control,,<div  class = 'container4'> <div class='container5'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='center'></div><div class='dot43_green'></div></div> </div>,1,testing.4,testing,green circle,,notAnotBneg
9639,NA,,html-button-delay-response,6,65842,0.0-6.0,llkbm1du8d,control,,<div  class = 'container4'> <div class='container5'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4_red'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='center'></div><div class='dot23_green'></div></div> </div>,1,testing.16,testing,green circle,,AnotB_greyneg
8125,NA,,html-button-delay-response,7,74471,0.0-7.0,llkbm1du8d,control,,<div  class = 'container4'> <div class='container5'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='center'></div><div class='dot32_green'></div></div> </div>,1,testing.10,testing,green circle,,notABneg
6556,NA,,html-button-delay-response,8,81534,0.0-8.0,llkbm1du8d,control,,<div  class = 'container4'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='center'></div><div class='dot32_yellow'></div></div> </div>,0,testing.6,testing,yellow circle,,notAB
6539,NA,,html-button-delay-response,9,88577,0.0-9.0,llkbm1du8d,control,,<div  class = 'container4'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='center'></div><div class='dot56'></div></div> </div>,0,testing.17,testing,black circle,,AnotB_red
