rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,view_history,stimulus,button_pressed,id,type,shape,phrase,condition
6815,5e6a7e744ecdc603867d7a54,ProlificID,survey-text,0,6816,0.0-0.0,aw80fltpy4,control,,,,,,,,
1968,NA,instructions,instructions,1,8785,0.0-1.0,aw80fltpy4,control,"[{""page_index"":0,""viewing_time"":1967}]",,,,,,,
15341,NA,,html-button-delay-response,2,24127,0.0-2.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.15,testing,The green circle,does not move from red upward.,notAnotB
10450,NA,,html-button-delay-response,3,35081,0.0-3.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot3'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.7,testing,The green circle,moves from red upward.,notAB
5754,NA,,html-button-delay-response,4,41336,0.0-4.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.9,testing,The green circle,moves from red upward.,AnotB
7476,NA,,html-button-delay-response,5,49315,0.0-5.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot4'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.8,testing,The green circle,does not move from red upward.,notAB
4936,NA,,html-button-delay-response,6,54752,0.0-6.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug3'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.3,testing,The green circle,moves from red upward.,AB
6145,NA,,html-button-delay-response,7,61398,0.0-7.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug3b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.11,testing,The green circle,does not move from red upward.,AnotB
7763,NA,,html-button-delay-response,8,69665,0.0-8.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot2a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.13,testing,The green circle,moves from red upward.,notAnotB
3853,NA,,html-button-delay-response,9,74021,0.0-9.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot3a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.14,testing,The green circle,moves from red upward.,notAnotB
5798,NA,,html-button-delay-response,10,80322,0.0-10.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug4'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.4,testing,The green circle,does not move from red upward.,AB
6075,NA,,html-button-delay-response,11,86899,0.0-11.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug2b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.10,testing,The green circle,moves from red upward.,AnotB
10830,NA,,html-button-delay-response,12,98230,0.0-12.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot2'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.6,testing,The green circle,does not move from red upward.,notAB
5135,NA,,html-button-delay-response,13,103868,0.0-13.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug2'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.2,testing,The green circle,does not move from red upward.,AB
5550,NA,,html-button-delay-response,14,109920,0.0-14.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.1,testing,The green circle,moves from red upward.,AB
7807,NA,,html-button-delay-response,15,118228,0.0-15.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot4a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.16,testing,The green circle,does not move from red upward.,notAnotB
6314,NA,,html-button-delay-response,16,125045,0.0-16.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.12,testing,The green circle,does not move from red upward.,AnotB
13514,NA,,html-button-delay-response,17,139062,0.0-17.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.5,testing,The green circle,moves from red upward.,notAB
7484,NA,,html-button-delay-response,18,147048,0.0-18.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='wug2a'></div><div class='wug3a'></div><div class='wug4a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.19,testing,Every green circle,moves from red upward.,all_true_no_projection
4027,NA,,html-button-delay-response,19,151578,0.0-19.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3a'></div><div class='wug4a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.18,testing,Every green circle,moves from red upward.,all_true_universal
10639,NA,,html-button-delay-response,20,162718,0.0-20.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1'></div><div class='dot2'></div><div class='dot3'></div><div class='wug4'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.20,testing,None of the green circles,moves from red upward.,none_false
6796,NA,,html-button-delay-response,21,170020,0.0-21.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1a'></div><div class='dot2a'></div><div class='dot3b'></div><div class='dot4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.23,testing,None of the green circles,moves from red upward.,none_true_no_projection
4020,NA,,html-button-delay-response,22,174543,0.0-22.0,aw80fltpy4,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3b'></div><div class='wug4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.17,testing,Every green circle,moves from red upward.,all_true_existential
