rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,view_history,stimulus,button_pressed,id,type,shape,phrase,condition
7275,603e1fe6849f5c63a9997cf5,ProlificID,survey-text,0,7278,0.0-0.0,8do0byc4kl,no training,,,,,,,,
5351,NA,instructions,instructions,1,12630,0.0-1.0,8do0byc4kl,no training,"[{""page_index"":0,""viewing_time"":5350}]",,,,,,,
6040,NA,,html-button-delay-response,2,18674,0.0-2.0,8do0byc4kl,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug1'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.1,teaching,The green circle,,
3984,NA,,html-button-delay-response,3,23159,0.0-3.0,8do0byc4kl,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug3'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.3,teaching,The green circle,,
3306,NA,,html-button-delay-response,4,26967,0.0-4.0,8do0byc4kl,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug4'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.4,teaching,The green circle,,
3384,NA,,html-button-delay-response,5,30853,0.0-5.0,8do0byc4kl,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug2'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.2,teaching,The green circle,,
10883,NA,break,html-button-response,6,42238,0.0-6.0,8do0byc4kl,no training,,"<p style='text-align:center'>Now, let's see how <b>you</b> use <i>wug</i>!</p> <p style='text-align:center'> You will see two animations but only one of them is visible, the other hidden.  Your task is to decide whether the sentence you will see describes the visible animation or the hidden animation. You should choose the hidden scenario if you consider the visible one inappropriate given the sentence you will see. </p>",0,,,,,
9194,NA,,html-button-delay-response,7,51434,0.0-7.0,8do0byc4kl,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.1,testing,The green circle,does not wug.,AB
30247,NA,,html-button-delay-response,8,82183,0.0-8.0,8do0byc4kl,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug3b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.3,testing,The green circle,does not wug.,notAB
3548,NA,,html-button-delay-response,9,86233,0.0-9.0,8do0byc4kl,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.4,testing,The green circle,wugs.,notAB
