rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,task,view_history,button_pressed,id,type,shape,stimulus,clicks,button_response,phrase,condition
11544,5beefdf2036772000165d529,ProlificID,survey-text,0,11545,0.0-0.0,3tcl0xljvl,canonical training,CB+likert,,,,,,,,,,
3656,NA,instructions,instructions,1,15201,0.0-1.0,3tcl0xljvl,canonical training,CB+likert,"[{""page_index"":0,""viewing_time"":3656}]",,,,,,,,,
10377,NA,,html-button-delay-response,2,25580,0.0-2.0,3tcl0xljvl,canonical training,CB+likert,,0,teaching.2,teaching,The green circle,,,,,
6366,NA,,html-button-delay-response,3,32447,0.0-3.0,3tcl0xljvl,canonical training,CB+likert,,0,teaching.1,teaching,The green circle,,,,,
5058,NA,,html-button-delay-response,4,38007,0.0-4.0,3tcl0xljvl,canonical training,CB+likert,,0,teaching.6,teaching,The green circle,,,,,
3640,NA,,html-button-delay-response,5,42150,0.0-5.0,3tcl0xljvl,canonical training,CB+likert,,0,teaching.3,teaching,The green circle,,,,,
3702,NA,,html-button-delay-response,6,46364,0.0-6.0,3tcl0xljvl,canonical training,CB+likert,,0,teaching.4,teaching,The green circle,,,,,
3910,NA,,html-button-delay-response,7,50777,0.0-7.0,3tcl0xljvl,canonical training,CB+likert,,0,teaching.5,teaching,The green circle,,,,,
9737,NA,break,html-button-response,8,61020,0.0-8.0,3tcl0xljvl,canonical training,CB+likert,,0,,,,"<p style='text-align:center'>Now, let's see how <b>you</b> use <i>wug</i>!</p> <p style='text-align:center'> We will show you two animations. However, only one of them is visible, the other animation is hidden.</p>  <p style='text-align:center'>Your task is to decide whether the sentence you will read describes the visible animation or the hidden animation. You should choose the hidden scenario if you consider the visible one inappropriate. You will then be asked how confident you were while making your choice.</p>",,,,
10692,10,,survey-likert,9,71713,0.0-9.0,3tcl0xljvl,canonical training,CB+likert,,,testing.1,testing,The green circle,,1,target,does not wug.,AB
5166,10,,survey-likert,10,77379,0.0-10.0,3tcl0xljvl,canonical training,CB+likert,,,testing.2,testing,The green circle,,1,target,wugs.,AB
9998,10,,survey-likert,11,87892,0.0-11.0,3tcl0xljvl,canonical training,CB+likert,,,testing.4,testing,The green circle,,1,CB,wugs.,notAB
5742,10,,survey-likert,12,94135,0.0-12.0,3tcl0xljvl,canonical training,CB+likert,,,testing.3,testing,The green circle,,1,target,does not wug.,notAB
5797,10,,survey-likert,13,100432,0.0-13.0,3tcl0xljvl,canonical training,CB+likert,,,testing.5,testing,Every green circle,,1,target,wugs.,all_true_universal
5430,10,,survey-likert,14,106369,0.0-14.0,3tcl0xljvl,canonical training,CB+likert,,,testing.6,testing,None of the green circles,,1,target,wug.,none_true_universal
7190,10,,survey-likert,15,114060,0.0-15.0,3tcl0xljvl,canonical training,CB+likert,,,testing.38,testing,Some of the green circles,,1,CB,wug.,some_false
7381,10,,survey-likert,16,121942,0.0-16.0,3tcl0xljvl,canonical training,CB+likert,,,testing.26,testing,None of the green circles,,2,target,wug.,none_true_existential
9411,10,,survey-likert,17,131855,0.0-17.0,3tcl0xljvl,canonical training,CB+likert,,,testing.36,testing,Some of the green circles,,1,target,wug.,some_true
5442,10,,survey-likert,18,137801,0.0-18.0,3tcl0xljvl,canonical training,CB+likert,,,testing.35,testing,Some of the green circles,,1,target,wug.,some_true
9371,10,,survey-likert,19,147673,0.0-19.0,3tcl0xljvl,canonical training,CB+likert,,,testing.31,testing,None of the green circles,,2,target,wug.,none_true_no_projection
6302,10,,survey-likert,20,154484,0.0-20.0,3tcl0xljvl,canonical training,CB+likert,,,testing.7,testing,Every green circle,,1,target,wugs.,all_true_universal
7768,10,,survey-likert,21,162761,0.0-21.0,3tcl0xljvl,canonical training,CB+likert,,,testing.21,testing,None of the green circles,,1,target,wug.,none_true_universal
4647,10,,survey-likert,22,167914,0.0-22.0,3tcl0xljvl,canonical training,CB+likert,,,testing.32,testing,None of the green circles,,1,CB,wug.,none_false
5902,10,,survey-likert,23,174318,0.0-23.0,3tcl0xljvl,canonical training,CB+likert,,,testing.13,testing,Every green circle,,1,target,wugs.,all_true_existential
5485,10,,survey-likert,24,180306,0.0-24.0,3tcl0xljvl,canonical training,CB+likert,,,testing.24,testing,None of the green circles,,1,target,wug.,none_true_existential
4502,10,,survey-likert,25,185312,0.0-25.0,3tcl0xljvl,canonical training,CB+likert,,,testing.34,testing,None of the green circles,,1,CB,wug.,none_false
5234,10,,survey-likert,26,191047,0.0-26.0,3tcl0xljvl,canonical training,CB+likert,,,testing.19,testing,Every green circle,,1,target,wugs.,all_true_no_projection
5205,10,,survey-likert,27,196754,0.0-27.0,3tcl0xljvl,canonical training,CB+likert,,,testing.8,testing,Every green circle,,1,target,wugs.,all_true_universal
5767,10,,survey-likert,28,203023,0.0-28.0,3tcl0xljvl,canonical training,CB+likert,,,testing.25,testing,None of the green circles,,1,target,wug.,none_true_existential
4738,10,,survey-likert,29,208263,0.0-29.0,3tcl0xljvl,canonical training,CB+likert,,,testing.16,testing,Every green circle,,1,target,wugs.,all_true_existential
4247,10,,survey-likert,30,213010,0.0-30.0,3tcl0xljvl,canonical training,CB+likert,,,testing.10,testing,Every green circle,,1,CB,wugs.,all_false
4440,10,,survey-likert,31,217952,0.0-31.0,3tcl0xljvl,canonical training,CB+likert,,,testing.9,testing,Every green circle,,1,target,wugs.,all_true_universal
5941,10,,survey-likert,32,224394,0.0-32.0,3tcl0xljvl,canonical training,CB+likert,,,testing.30,testing,None of the green circles,,1,target,wug.,none_true_no_projection
